number,value,datetime_start,datetime_complete,duration,params_beta1,params_feature_maps,params_latent_dim,params_lr,state
0,0.856832149662549,2026-04-18 16:17:08.776568,2026-04-18 16:20:22.273827,0 days 00:03:13.497259,0.0,96,64,0.00018272261776066238,COMPLETE
1,0.8525921430768846,2026-04-18 16:20:22.402472,2026-04-18 16:23:13.542166,0 days 00:02:51.139694,0.0,96,128,0.000263124545105745,COMPLETE
2,0.8714531833612467,2026-04-18 16:23:13.652531,2026-04-18 16:25:53.046686,0 days 00:02:39.394155,0.0,96,64,0.00016317596956423415,COMPLETE
3,0.8224058219149143,2026-04-18 16:25:53.164110,2026-04-18 16:28:02.163555,0 days 00:02:08.999445,0.0,64,64,0.000208343156115295,COMPLETE
4,0.8807832372339466,2026-04-18 16:28:02.306945,2026-04-18 16:30:48.974573,0 days 00:02:46.667628,0.0,64,100,0.00011103735608516835,COMPLETE
5,1.8901164365720144,2026-04-18 16:30:49.148237,2026-04-18 16:32:05.001568,0 days 00:01:15.853331,0.5,96,128,0.00012170293883738795,PRUNED
6,0.826103929477402,2026-04-18 16:32:05.177274,2026-04-18 16:35:29.717674,0 days 00:03:24.540400,0.0,96,100,0.00024106495902171608,COMPLETE
7,1.1147801657266254,2026-04-18 16:35:29.824148,2026-04-18 16:36:16.928719,0 days 00:00:47.104571,0.0,64,128,0.00011530645080977568,PRUNED
8,1.6727386773387087,2026-04-18 16:36:17.040935,2026-04-18 16:37:16.373888,0 days 00:00:59.332953,0.5,64,128,0.0001571682420165152,PRUNED
9,1.1100044378751441,2026-04-18 16:37:16.535138,2026-04-18 16:38:21.918379,0 days 00:01:05.383241,0.0,64,64,0.00010089271157862034,PRUNED
10,1.5474988131583491,2026-04-18 16:38:22.067019,2026-04-18 16:39:29.765610,0 days 00:01:07.698591,0.5,64,64,0.000441116156088184,PRUNED
11,1.1290082380741457,2026-04-18 16:39:29.928789,2026-04-18 16:40:35.879651,0 days 00:01:05.950862,0.0,96,100,0.0002760878914099801,PRUNED
12,1.1068068365507489,2026-04-18 16:40:36.000356,2026-04-18 16:41:23.819429,0 days 00:00:47.819073,0.0,64,100,0.00035296659035647846,PRUNED
13,1.134673146507408,2026-04-18 16:41:23.954325,2026-04-18 16:42:22.118039,0 days 00:00:58.163714,0.0,96,100,0.0002104577861136812,PRUNED
14,1.703560454935967,2026-04-18 16:42:22.243485,2026-04-18 16:43:09.518019,0 days 00:00:47.274534,0.5,64,64,0.00026570736628526027,PRUNED
15,1.1023660407790654,2026-04-18 16:43:09.665692,2026-04-18 16:44:09.895577,0 days 00:01:00.229885,0.0,96,100,0.00033492394337213214,PRUNED
16,0.8443417971647238,2026-04-18 16:44:10.061616,2026-04-18 16:47:01.005215,0 days 00:02:50.943599,0.0,64,100,0.0002367525166922714,COMPLETE
