number,value,datetime_start,datetime_complete,duration,params_beta1,params_d_steps,params_feature_maps,params_latent_dim,params_lr_d,params_lr_g,state
0,203.29595947265625,2026-04-20 02:34:44.691288,2026-04-20 02:38:00.213993,0 days 00:03:15.522705,0.0,2,96,64,0.0008927180304353628,0.00018272261776066238,COMPLETE
1,302.802490234375,2026-04-20 02:38:00.388270,2026-04-20 02:40:47.631662,0 days 00:02:47.243392,0.5,1,96,64,0.0009330606024425672,0.00010336843570697407,COMPLETE
2,315.48236083984375,2026-04-20 02:40:47.775579,2026-04-20 02:43:35.683862,0 days 00:02:47.908283,0.5,1,96,100,0.00013787764619353784,0.0002677113724214593,COMPLETE
3,155.92938232421875,2026-04-20 02:43:35.804222,2026-04-20 02:46:00.656126,0 days 00:02:24.851904,0.0,1,64,100,0.00014808945119975197,0.0002658616083788976,COMPLETE
4,274.0384826660156,2026-04-20 02:46:00.791471,2026-04-20 02:48:47.356246,0 days 00:02:46.564775,0.5,1,96,100,0.000312735303678037,0.00012170293883738795,COMPLETE
5,248.31141662597656,2026-04-20 02:48:47.485376,2026-04-20 02:52:01.562536,0 days 00:03:14.077160,0.5,2,96,64,0.0005958443469672521,0.0004761135828626518,COMPLETE
6,308.8419494628906,2026-04-20 02:52:01.683103,2026-04-20 02:55:17.161996,0 days 00:03:15.478893,0.5,2,96,64,0.000186788025710707,0.00018692774498209542,COMPLETE
7,233.34571838378906,2026-04-20 02:55:17.296523,2026-04-20 02:57:43.230516,0 days 00:02:25.933993,0.5,1,64,100,0.00015802131864103882,0.0003465580008953491,COMPLETE
8,203.13706970214844,2026-04-20 02:57:43.359970,2026-04-20 03:00:08.311153,0 days 00:02:24.951183,0.5,1,64,64,0.00042004723167022017,0.00040112839454029377,COMPLETE
9,383.4138488769531,2026-04-20 03:00:08.430960,2026-04-20 03:02:51.669867,0 days 00:02:43.238907,0.0,2,64,64,0.0005167075260023275,0.00012122516686859985,COMPLETE
10,209.83236694335938,2026-04-20 03:02:51.799677,2026-04-20 03:05:17.569366,0 days 00:02:25.769689,0.0,1,64,100,0.00010139048090380887,0.0002568279156720922,COMPLETE
11,149.78433227539062,2026-04-20 03:05:17.697521,2026-04-20 03:07:42.246727,0 days 00:02:24.549206,0.0,1,64,100,0.00029406388068202704,0.0004092810756919915,COMPLETE
12,170.564208984375,2026-04-20 03:07:42.370069,2026-04-20 03:10:08.267173,0 days 00:02:25.897104,0.0,1,64,100,0.00024126115714459505,0.00031197913665675643,COMPLETE
13,150.30685424804688,2026-04-20 03:10:08.387830,2026-04-20 03:12:34.125246,0 days 00:02:25.737416,0.0,1,64,100,0.00024411485271580183,0.0004608650781047068,COMPLETE
14,138.4403839111328,2026-04-20 03:12:34.261711,2026-04-20 03:14:58.677829,0 days 00:02:24.416118,0.0,1,64,100,0.0002980455779523,0.000492173923602729,COMPLETE
15,132.03640747070312,2026-04-20 03:14:58.806279,2026-04-20 03:17:24.090425,0 days 00:02:25.284146,0.0,1,64,100,0.00035044090558002924,0.0004994872054273084,COMPLETE
16,147.88804626464844,2026-04-20 03:17:24.244384,2026-04-20 03:19:48.445173,0 days 00:02:24.200789,0.0,1,64,100,0.0004325284048257674,0.0004898874144044741,COMPLETE
17,148.2487030029297,2026-04-20 03:19:48.574683,2026-04-20 03:22:13.310126,0 days 00:02:24.735443,0.0,1,64,100,0.0006259628659035854,0.0003718396144073716,COMPLETE
18,325.19000244140625,2026-04-20 03:22:13.431253,2026-04-20 03:24:54.268588,0 days 00:02:40.837335,0.0,2,64,100,0.00038697427579651627,0.00018680545541081988,COMPLETE
19,169.5752410888672,2026-04-20 03:24:54.397124,2026-04-20 03:27:18.884759,0 days 00:02:24.487635,0.0,1,64,100,0.00022419539840319342,0.0003207527780833435,COMPLETE
